"Citation: Graham, J.L., Dubrovsky, N.M., Loftin, K.A., Rosen, B.H., and Stelzer, E.A., 2022, Cyanotoxin, chlorophyll-a, and cyanobacterial toxin genetic data for samples collected at twelve large river sites throughout the United States, June through October 2019: U.S. Geological Survey data release, https://doi.org/10.5066/P99I27T4.",,,,,,,,,,,,,,,,,,,,,,,,,,
USGS Station ID,USGS Station Name,Sample Date,Sample Time,Sample Type,Data qualifiers for Total microcystins plus nodularins,Total microcystins plus nodularins (ug/L),Data qualifiers for Total cylindrospermopsins,Total cylindrospermopsins (ug/L),Data qualifiers for Total saxitoxins,Total saxitoxins (ug/L),Data qualifiers for Anatoxin-a (method IMM24),Anatoxin-a (method IMM24) (ug/L),Chlorophyll-a (ug/L),Pheophytin-a (ug/L),Data qualifiers for Anatoxin-a gene anaC,Anatoxin-a gene anaC (cp/100 mL),Data qualifiers for Saxitoxin gene sxtA,Saxitoxin gene sxtA (cp/100 mL),Data qualifiers for Cylindrospermopsin gene cyrA,Cylindrospermopsin gene cyrA (cp/100 mL),Data qualifiers for Microcystis mcyE toxin gene,Microcystis mcyE toxin gene (cp/100 mL),Data qualifiers for  Dolichospermum mcyE toxin gene, Dolichospermum mcyE toxin gene (cp/100 mL) ,Data qualifiers for Planktothrix mcyE toxin gene,Planktothrix mcyE toxin gene (cp/100 mL)
1184000,"Connecticut River at Thompsonville, CT",6/12/2019,1020,Regular,<,0.1,<,0.05,<,0.02,<,0.15,0.9,0.5,E,"1,000",<,420,<,930,<,390,<,"1,400",<,"1,500"
1184000,"Connecticut River at Thompsonville, CT",6/12/2019,NA,Laboratory Replicate,<,0.1,<,0.05,<,0.02,<,0.15,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
1184000,"Connecticut River at Thompsonville, CT",6/26/2019,1130,Regular,<,0.1,<,0.05,<,0.02,<,0.15,0.7,0.4,E,"1,300",<,420,<,930,<,390,<,"1,400",<,"1,500"
1184000,"Connecticut River at Thompsonville, CT",6/26/2019,NA,Laboratory Replicate,<,0.1,<,0.05,<,0.02,<,0.15,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
1184000,"Connecticut River at Thompsonville, CT",7/10/2019,930,Regular,<,0.1,<,0.05,<,0.02,<,0.15,3,1.2,<,960,<,420,<,930,,"4,800",<,"1,400",E,"1,600"
1184000,"Connecticut River at Thompsonville, CT",7/10/2019,NA,Laboratory Replicate,<,0.1,<,0.05,<,0.02,<,0.15,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
1184000,"Connecticut River at Thompsonville, CT",7/24/2019,930,Regular,<,0.1,<,0.05,<,0.02,<,0.15,2.1,2,<,960,<,420,<,930,,"6,400",<,"1,400",<,"1,500"
1184000,"Connecticut River at Thompsonville, CT",7/24/2019,NA,Laboratory Replicate,<,0.1,<,0.05,<,0.02,<,0.15,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
1184000,"Connecticut River at Thompsonville, CT",8/7/2019,950,Regular,<,0.1,<,0.05,<,0.02,<,0.15,1.6,0.9,E,"1,800",,"12,000",<,930,,"140,000",<,"1,400",<,"1,500"
1184000,"Connecticut River at Thompsonville, CT",8/7/2019,NA,Laboratory Replicate,<,0.1,<,0.05,<,0.02,<,0.15,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
1184000,"Connecticut River at Thompsonville, CT",8/7/2019,951,Concurrent Replicate,<,0.1,<,0.05,<,0.02,<,0.15,2.5,1.4,,"3,300",,"22,000",<,930,,"85,000",<,"1,400",<,"1,500"
1184000,"Connecticut River at Thompsonville, CT",8/7/2019,NA,Laboratory Replicate,<,0.1,<,0.05,<,0.02,<,0.15,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
1184000,"Connecticut River at Thompsonville, CT",8/21/2019,940,Regular,<,0.1,<,0.05,<,0.02,<,0.15,1.4,1.1,,"2,500",<,420,<,930,,"6,200",<,"1,400",<,"1,500"
1184000,"Connecticut River at Thompsonville, CT",8/21/2019,NA,Laboratory Replicate,<,0.1,<,0.05,<,0.02,<,0.15,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
1184000,"Connecticut River at Thompsonville, CT",9/4/2019,1000,Regular,<,0.1,<,0.05,<,0.02,<,0.15,1.6,1.1,<,960,,"2,400",<,930,,"31,000",<,"1,400",<,"1,500"
1184000,"Connecticut River at Thompsonville, CT",9/4/2019,NA,Laboratory Replicate,<,0.1,<,0.05,<,0.02,<,0.15,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
1184000,"Connecticut River at Thompsonville, CT",10/9/2019,950,Regular,<,0.1,<,0.05,<,0.02,<,0.15,2.7,2.7,,"2,900",<,750,<,930,E,400,<,"1,400",<,"1,500"
1184000,"Connecticut River at Thompsonville, CT",10/9/2019,NA,Laboratory Replicate,<,0.1,<,0.05,<,0.02,<,0.15,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
1372043,"Hudson River near Poughkeepsie, NY",6/25/2019,1145,Regular,<,0.1,<,0.05,<,0.02,<,0.15,16.9,5,,"44,000",E,860,<,930,<,390,<,"1,400",E,"2,300"
1372043,"Hudson River near Poughkeepsie, NY",6/25/2019,NA,Laboratory Replicate,<,0.1,<,0.05,<,0.02,<,0.15,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
1372043,"Hudson River near Poughkeepsie, NY",6/25/2019,1146,Concurrent Replicate,<,0.1,<,0.05,<,0.02,<,0.15,NM,NM,,"16,000",,"2,100",<,930,<,390,<,"1,400",<,"1,500"
1372043,"Hudson River near Poughkeepsie, NY",6/25/2019,NA,Laboratory Replicate,<,0.1,<,0.05,<,0.02,<,0.15,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
1372043,"Hudson River near Poughkeepsie, NY",7/24/2019,1030,Regular,<,0.1,<,0.05,<,0.02,<,0.15,3.4,4.7,<,960,E,"1,100",<,930,,"17,000",<,"1,400",<,"1,500"
1372043,"Hudson River near Poughkeepsie, NY",7/24/2019,NA,Laboratory Replicate,<,0.1,<,0.05,<,0.02,<,0.15,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
1372043,"Hudson River near Poughkeepsie, NY",8/26/2019,1345,Regular,<,0.1,<,0.05,<,0.02,<,0.15,3,3.8,,"61,000",,"63,000",<,930,,"92,000",<,"1,400",<,"1,500"
1372043,"Hudson River near Poughkeepsie, NY",8/26/2019,NA,Laboratory Replicate,<,0.1,<,0.05,<,0.02,<,0.15,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
1372043,"Hudson River near Poughkeepsie, NY",10/8/2019,1430,Regular,,0.1,<,0.05,<,0.02,<,0.15,NM,NM,,"17,000",,"820,000",<,930,,"280,000",<,"1,400",<,"1,500"
1372043,"Hudson River near Poughkeepsie, NY",10/8/2019,NA,Laboratory Replicate,,0.13,<,0.05,<,0.02,<,0.15,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
1463500,"Delaware River at Trenton, NJ",6/20/2019,1200,Regular,<,0.1,<,0.05,<,0.02,<,0.15,5.2,7.5,<,960,,"1,700",<,930,,"5,100",<,"1,400",,"5,800"
1463500,"Delaware River at Trenton, NJ",6/20/2019,NA,Laboratory Replicate,<,0.1,<,0.05,<,0.02,<,0.15,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
1463500,"Delaware River at Trenton, NJ",7/9/2019,1100,Regular,<,0.1,<,0.05,<,0.02,<,0.15,3,3.3,E,"1,100",E,"1,600",<,930,<,390,<,"1,400",<,"1,500"
1463500,"Delaware River at Trenton, NJ",7/9/2019,NA,Laboratory Replicate,<,0.1,<,0.05,<,0.02,<,0.15,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
1463500,"Delaware River at Trenton, NJ",8/5/2019,1130,Regular,<,0.1,<,0.05,<,0.02,<,0.15,1.7,1.1,<,960,<,420,<,930,<,390,<,"1,400",<,"1,500"
